Datum (MEZ),Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion EXAA (DE-LU)
,Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2024-01-04T12:00+01:00,18504.80635,40201.7295,87.41
2024-01-04T12:15+01:00,18634.61635,39363.07798,84.91
2024-01-04T12:30+01:00,19024.93398,39001.63506,84.9
2024-01-04T12:45+01:00,19460.82878,38555.12511,77.22
2024-01-04T13:00+01:00,19751.47095,37336.23236,79.99
2024-01-04T13:15+01:00,19864.74021,36622.88707,82.48
2024-01-04T13:30+01:00,20032.48126,35738.38646,86.62
2024-01-04T13:45+01:00,20181.47969,34818.46473,87.48
2024-01-04T14:00+01:00,20911.2815,33425.90026,90.88
2024-01-04T14:15+01:00,21197.08088,32395.44682,82.48
2024-01-04T14:30+01:00,21466.14134,31369.36956,89.98
2024-01-04T14:45+01:00,21848.99442,30478.14819,99.97
2024-01-04T15:00+01:00,23399.68018,28981.98747,81.1
2024-01-04T15:15+01:00,23583.51221,27764.26992,89.99
2024-01-04T15:30+01:00,23727.65139,26617.06038,102.5
2024-01-04T15:45+01:00,24164.2869,25528.62579,121.69
2024-01-04T16:00+01:00,24578.13488,24605.24666,104.92
2024-01-04T16:15+01:00,24954.12091,23981.90846,97.49
2024-01-04T16:30+01:00,25246.13481,23396.6377,129.92
2024-01-04T16:45+01:00,25469.50944,22469.939,115.66
2024-01-04T17:00+01:00,25675.59485,21923.71688,111.7
2024-01-04T17:15+01:00,25615.31368,21433.59571,104.98
2024-01-04T17:30+01:00,25843.83024,20859.33016,132.43
2024-01-04T17:45+01:00,26289.03463,20253.75224,134.95
2024-01-04T18:00+01:00,26628.73823,19609.35104,144.37
2024-01-04T18:15+01:00,26708.65076,19027.31824,125.73
2024-01-04T18:30+01:00,26636.68087,18536.91598,132.46
2024-01-04T18:45+01:00,26598.86818,18171.60147,134.8
2024-01-04T19:00+01:00,26533.34342,17427.92506,158.2
2024-01-04T19:15+01:00,26503.02081,17127.11814,134.96
2024-01-04T19:30+01:00,26166.22249,16975.87924,114.32
2024-01-04T19:45+01:00,26090.74062,16652.344,109.98
2024-01-04T20:00+01:00,25931.98047,16997.01375,184.9
2024-01-04T20:15+01:00,25723.85197,16402.1786,112.44
2024-01-04T20:30+01:00,25429.68414,16246.26403,104.9
2024-01-04T20:45+01:00,25264.19286,16150.17555,70.09
2024-01-04T21:00+01:00,25247.77863,16258.81323,119.4
2024-01-04T21:15+01:00,24980.09873,16034.7133,104.93
2024-01-04T21:30+01:00,24752.29721,15953.46114,99.92
2024-01-04T21:45+01:00,24336.51615,16147.86852,88.06
2024-01-04T22:00+01:00,23676.39892,16628.85769,121.06
2024-01-04T22:15+01:00,23424.65051,16909.09493,102.43
2024-01-04T22:30+01:00,22888.2356,17057.92939,94.9
2024-01-04T22:45+01:00,22214.56736,17079.1156,60.09
2024-01-04T23:00+01:00,21321.045,17249.86414,107.42
2024-01-04T23:15+01:00,20826.52579,17307.89009,97.41
2024-01-04T23:30+01:00,20300.23445,17556.45243,89.9
2024-01-04T23:45+01:00,19918.35418,17940.2119,53.62
2024-01-05T00:00+01:00,19834.79509,18567.08049,112.43
2024-01-05T00:15+01:00,19232.14658,18877.65838,92.69
2024-01-05T00:30+01:00,18948.26994,19078.43057,76.5
2024-01-05T00:45+01:00,18797.14861,19440.18138,62
2024-01-05T01:00+01:00,18342.32069,19993.37998,102.45
2024-01-05T01:15+01:00,18036.17222,20408.61773,92.41
2024-01-05T01:30+01:00,17889.71563,20978.52179,73.7
2024-01-05T01:45+01:00,17828.77687,21412.41855,55.6
2024-01-05T02:00+01:00,17793.22876,21747.33628,94.91
2024-01-05T02:15+01:00,17633.02388,22312.86223,84.9
2024-01-05T02:30+01:00,17609.18335,22851.70643,77.35
2024-01-05T02:45+01:00,17558.59718,23456.95537,56
2024-01-05T03:00+01:00,17568.54873,24100.38593,84.91
2024-01-05T03:15+01:00,17469.59343,24679.5587,74.3
2024-01-05T03:30+01:00,17458.74125,25183.16768,77.4
2024-01-05T03:45+01:00,17352.43429,25608.36638,72.4
2024-01-05T04:00+01:00,17363.5109,25858.831,79.9
2024-01-05T04:15+01:00,17377.63673,26161.93728,76.33
2024-01-05T04:30+01:00,17460.58166,26458.47319,74.92
2024-01-05T04:45+01:00,17579.04207,26908.37584,77.44
2024-01-05T05:00+01:00,17971.69298,27452.94431,42
2024-01-05T05:15+01:00,18129.18504,27874.93939,51.9
2024-01-05T05:30+01:00,18434.36072,28344.1809,82.45
2024-01-05T05:45+01:00,18522.9804,28726.73925,144.84
2024-01-05T06:00+01:00,19009.23095,29556.80867,43.2
2024-01-05T06:15+01:00,19353.81123,29986.43976,79.4
2024-01-05T06:30+01:00,19608.40785,30358.54213,97.41
2024-01-05T06:45+01:00,20159.0163,30799.05004,119.93
2024-01-05T07:00+01:00,21056.36963,31416.56696,72.47
2024-01-05T07:15+01:00,21925.87714,31958.93991,94
2024-01-05T07:30+01:00,22300.55688,32433.89425,107.42
2024-01-05T07:45+01:00,22562.98968,32958.41682,122.44
2024-01-05T08:00+01:00,23057.14616,33287.47469,102.45
2024-01-05T08:15+01:00,23295.64277,33961.38307,104.99
2024-01-05T08:30+01:00,23298.80059,34434.5831,109.5
2024-01-05T08:45+01:00,23293.25032,34923.16195,103.58
2024-01-05T09:00+01:00,23385.28579,35638.04706,112.4
2024-01-05T09:15+01:00,23382.9237,36141.37943,104.93
2024-01-05T09:30+01:00,23477.7158,36680.75413,97.44
2024-01-05T09:45+01:00,23651.01197,37260.48145,95.93
2024-01-05T10:00+01:00,23780.75166,37969.72519,105.91
2024-01-05T10:15+01:00,23538.27716,38775.37251,99.98
2024-01-05T10:30+01:00,23317.2484,39426.93769,97.46
2024-01-05T10:45+01:00,23030.04772,40011.17006,94.96
2024-01-05T11:00+01:00,22958.67218,40596.72443,98.5
2024-01-05T11:15+01:00,22796.15066,40919.23753,97.16
2024-01-05T11:30+01:00,22753.57415,41026.4621,93.2
2024-01-05T11:45+01:00,22886.65096,41128.11274,95.7
2024-01-05T12:00+01:00,23176.3156,41122.14982,91.7
2024-01-05T12:15+01:00,23243.28791,40910.63705,93.6
2024-01-05T12:30+01:00,23244.68124,40557.95561,90.5
